Obcina,Ranljivostni_razredi,Povrsina,Stevilo
TRBOVLJE,D,1532820.4,6964
TRBOVLJE,E,137166.3,3175
TREBNJE,B,294571.1,3217
TREBNJE,C,1273283.1,7443
TREBNJE,D,918327.8,5851
TREBNJE,E,170582.8,3948
VELENJE,B,126233.8,1031
VELENJE,C,2163730.2,8294
VELENJE,D,1519857.5,2967
VELENJE,E,145297.9,3226
VRHNIKA,B,129090,857
VRHNIKA,C,1403517.1,6897
VRHNIKA,D,508131,1982
VRHNIKA,E,108729.2,2156
ŽALEC,B,355603.2,2881
ŽALEC,C,3102280.2,17022
ŽALEC,D,1071196.2,4250
ŽALEC,E,293072.1,6232
